Year,Month,Day,Hour,Pressure_hPa,Latitude,Longitude,Height_m,Temperature_K,Specific_Humidity,Vapour_Pressure_hPa,Radio_Refractivity
2026,1,1,0,925.0,18.75,73.0,771.4097385447631,290.58282470703125,0.009630635380744934,14.238751221129043,309.91937526785125
2026,1,1,0,850.0,19.25,72.5,1489.0417949809569,286.14166259765625,0.008769765496253967,11.920873500969096,284.82205422473083
2026,1,1,0,850.0,19.25,72.75,1489.3732027501746,286.23345947265625,0.008389249444007874,11.406256004916964,282.37040535299843
2026,1,1,0,850.0,19.25,73.0,1489.4241885608237,286.33990478515625,0.008235707879066467,11.198536271798075,281.30115800371607
2026,1,1,0,850.0,19.0,72.5,1489.2074988655659,286.31939697265625,0.00895334780216217,12.16906921894011,285.74083880891624
2026,1,1,0,850.0,19.0,72.75,1489.2967240342014,286.39752197265625,0.00844360888004303,11.479787287506841,282.51330094124825
2026,1,1,0,850.0,19.0,73.0,1489.564399540108,286.46002197265625,0.00815369188785553,11.087564584233967,280.65742989988786
2026,1,1,0,850.0,18.75,72.5,1489.5134137294592,286.58209228515625,0.008865609765052795,12.050457877710656,284.8895198637714
2026,1,1,0,850.0,18.75,72.75,1489.4751743714726,286.60650634765625,0.008572831749916077,11.65456593600822,283.06290629199475
2026,1,1,0,850.0,18.75,73.0,1489.9340466673125,286.76763916015625,0.007567182183265686,10.293667047281263,276.70144638499596
2026,1,1,6,1000.0,19.25,72.5,121.81062842242255,295.28424072265625,0.013671085238456726,21.798134514264994,356.0473728460777
2026,1,1,6,1000.0,19.25,72.75,120.79091220944461,296.34674072265625,0.01248614490032196,19.923011275548365,346.47356447588686
2026,1,1,6,1000.0,19.25,73.0,119.84767471244004,297.75299072265625,0.011062785983085632,17.667053186443795,334.9481185159153
2026,1,1,6,1000.0,19.0,72.5,121.35175612658247,295.37017822265625,0.013934776186943054,22.215051188559325,357.6991390130667
2026,1,1,6,1000.0,19.0,72.75,120.80365866210684,295.64166259765625,0.013170406222343445,21.006155774532356,352.1245218163698
2026,1,1,6,1000.0,19.0,73.0,119.54175984854666,297.29010009765625,0.011408969759941101,18.216095176326327,337.9027040357644
2026,1,1,6,1000.0,18.75,72.5,120.79091220944461,295.52838134765625,0.01400439441204071,22.32510111413616,357.92684031712014
2026,1,1,6,1000.0,18.75,72.75,120.43401153490234,295.39166259765625,0.01318185031414032,21.024263485085374,352.57587647418507
2026,1,1,6,1000.0,18.75,73.0,118.53479008823095,297.28814697265625,0.010868236422538757,17.358399934171974,334.28561182333476
2026,1,1,6,925.0,19.25,72.5,795.097377720093,290.8597106933594,0.01108822226524353,16.37934734780766,319.00244857760896
2026,1,1,6,925.0,19.25,72.75,795.5052642052842,291.3538513183594,0.009844154119491577,14.552558164193027,310.3120966917577
2026,1,1,6,925.0,19.25,73.0,795.3395603206753,291.7542419433594,0.008884280920028687,13.141203051897655,303.61401520491086
2026,1,1,6,925.0,19.0,72.5,795.1101241727553,291.0374450683594,0.011135905981063843,16.449311501047795,319.07165729485587
2026,1,1,6,925.0,19.0,72.75,795.0718848147686,291.7718200683594,0.009486526250839233,14.026909310009323,307.47297052076146
2026,1,1,6,925.0,19.0,73.0,795.1356170780797,291.9319763183594,0.008895248174667358,13.157338067395049,303.4647488285597
2026,1,1,6,925.0,18.75,72.5,794.918927382822,291.3460388183594,0.01092180609703064,16.13514089235906,317.2764901013285
2026,1,1,6,925.0,18.75,72.75,794.7404770455507,291.9632263183594,0.00956377387046814,14.140468697037889,307.72803889166266
2026,1,1,6,925.0,18.75,73.0,795.0846312674308,291.9964294433594,0.00902971625328064,13.355149998412301,304.25043483210976
2026,1,1,6,850.0,19.25,72.5,1513.997755987009,286.63970947265625,0.008044436573982239,10.93971964779091,279.77873328159745
2026,1,1,6,850.0,19.25,72.75,1514.8135289573913,286.69537353515625,0.00808735191822052,10.997795275076395,279.9783203556875
2026,1,1,6,850.0,19.25,73.0,1515.3998657798536,286.79400634765625,0.008146002888679504,11.077160424164044,280.2247870524623
2026,1,1,6,850.0,19.0,72.5,1514.3546566615512,286.79595947265625,0.007906630635261536,10.753211972257143,278.7534794551515
